var,middle,ymin,ymax,middle_scaled,ymin_scaled,ymax_scaled,k,sig.level,k_sig,logr_min,logr_max,manip_type,middle_fixed,plot_label,bold_yn,middle_perc,upper_perc,lower_perc
agb_n,0.512129988,0.330984526,0.69327545,1.668842026,1.392338247,2.000256556,-18,***,(18)***,0.013730193,1.386294361,n,0.512,paste(' 0.512'^'***'),bold,66.88420257,100.0256556,39.23382468
agb_p,0.19163049,0.081917759,0.301343221,1.211222875,1.085366544,1.351673185,-12,***,(12)***,-0.087011377,0.988264231,n,0.192,paste(' 0.192'^'***'),bold,21.12228754,35.16731852,8.536654411
agb,0.325572653,0.252667379,0.398477927,1.384823442,1.287454971,1.489555759,-125,***,(125)***,-0.969400557,1.945910149,n,0.326,paste(' 0.326'^'***'),bold,38.4823442,48.95557587,28.74549706
agb_n_mass,0.152965437,0.09591129,0.210019584,1.165284702,1.10066142,1.23370222,-30,***,(30)***,-0.069391993,0.485507816,n,0.153,paste(' 0.153'^'***'),bold,16.52847023,23.37022203,10.06614199
agb_p_mass,-0.127058728,-0.199759409,-0.054358047,0.88068195,0.818927756,0.947092942,-23,***,(23)***,-0.875468737,0.09531018,n,-0.127,paste('-0.127'^'***'),bold,-11.93180497,-5.290705815,-18.10722439
leaf_n_mass,0.123891275,0.082992111,0.164790439,1.131892799,1.086533237,1.179145989,-139,***,(139)***,-0.252835341,1.073253213,n,0.124,paste(' 0.124'^'***'),bold,13.18927991,17.91459893,8.653323696
leaf_p_mass,-0.074554554,-0.136334787,-0.01277432,0.928156838,0.872550465,0.987306925,-133,*  ,(133)*  ,-2.031170889,0.506468318,n,-0.075,paste('-0.075'^'*  '),plain,-7.184316153,-1.269307466,-12.7449535
asat,0.107723526,-0.019512868,0.23495992,1.113739782,0.980676276,1.264858072,-89,.  ,(89).  ,-1.296918917,1.828348917,n,0.108,paste(' 0.108'^'.  '),plain,11.37397825,26.4858072,-1.932372444
total_biomass,0.034347502,-0.070293968,0.138988971,1.034944189,0.932119767,1.149111426,-42,   ,-42,-0.946948779,2.662587827,n,0.034,paste(' 0.034'^'   '),plain,3.494418899,14.91114262,-6.788023343
bgb,-0.015139722,-0.151389049,0.121109604,0.984974307,0.859513241,1.128748621,-63,   ,-63,-1.672265987,1.716382993,n,-0.015,paste('-0.015'^'   '),plain,-1.50256929,12.87486213,-14.04867591
rootshoot,-0.340494116,-0.516034894,-0.164953339,0.711418712,0.596882565,0.847933268,-40,***,(40)***,-2.542970451,0.693147181,n,-0.34,paste('-0.340'^'***'),bold,-28.85812878,-15.20667316,-40.31174351
rmf,-0.158285431,-0.249531751,-0.067039111,0.853606102,0.779165541,0.935158626,-37,***,(37)***,-0.887303195,0.317095958,n,-0.158,paste('-0.158'^'***'),bold,-14.63938983,-6.484137391,-22.0834459
gsw,0.203119615,-0.096785536,0.503024765,1.225219014,0.907750665,1.653715815,-43,   ,-43,-0.921780224,0.999877448,n,0.203,paste(' 0.203'^'   '),plain,22.52190137,65.37158151,-9.224933465
leaf_np,0.14104587,0.050373405,0.231718334,1.151477465,1.05166372,1.260764565,-118,** ,(118)** ,-0.833790364,2.244626816,n,0.141,paste(' 0.141'^'** '),plain,15.14774649,26.07645649,5.166371995
lma,-0.036640813,-0.067617047,-0.005664579,0.964022338,0.93461832,0.994351435,-113,*  ,(113)*  ,-0.787758455,0.76461801,n,-0.037,paste('-0.037'^'*  '),plain,-3.597766237,-0.564856546,-6.538167979
leaf_wue,0.004964903,-0.19207823,0.202008035,1.004977248,0.825242307,1.223857842,-40,   ,-40,-0.809649419,1.444849834,n,0.005,paste(' 0.005'^'   '),plain,0.497724808,22.38578419,-17.47576927
leaf_n_area,0.126037892,0.047969759,0.204106026,1.13432515,1.049138927,1.22642818,-87,** ,(87)** ,-0.381419193,1.11996218,n,0.126,paste(' 0.126'^'** '),plain,13.43251496,22.64281797,4.913892749
leaf_p_area,-0.055497416,-0.194757996,0.083763165,0.946014469,0.823033812,1.087371335,-82,   ,-82,-1.74120719,0.92833907,n,-0.055,paste('-0.055'^'   '),plain,-5.398553142,8.737133546,-17.69661885
vcmax,0.007244066,-0.175307083,0.189795216,1.007270368,0.839199277,1.209001988,-42,   ,-42,-1.552218982,1.087871783,n,0.007,paste(' 0.007'^'   '),plain,0.727036783,20.90019876,-16.0800723
jmax,0.090887767,-0.027734704,0.209510238,1.095146087,0.972646372,1.233073999,-40,   ,-40,-0.61419942,1.136163973,n,0.091,paste(' 0.091'^'   '),plain,9.514608666,23.3073999,-2.735362833
jmax_vcmax,0.003435833,-0.000537728,0.007409394,1.003441743,0.999462417,1.007436912,-32,.  ,(32).  ,-0.040412981,0.367510087,n,0.003,paste(' 0.003'^'.  '),plain,0.344174257,0.743691198,-0.053758328
leaf_pnue,0.070828515,-0.128210972,0.269868002,1.073397139,0.879667774,1.30979155,-61,   ,-61,-1.371224108,1.552279499,n,0.071,paste(' 0.071'^'   '),plain,7.33971387,30.97915498,-12.03322257
leaf_ppue,0.221891551,-0.003117724,0.446900825,1.248435978,0.996887131,1.563459236,-62,.  ,(62).  ,-1.177768012,1.651244768,n,0.222,paste(' 0.222'^'.  '),plain,24.84359784,56.34592363,-0.311286921
