"trait","nut_add","k","mod","estimate","se","estimate_se","zval","pval","ci.lb","ci.ub","ci_range"
"marea","n",78,"intrcpt",-0.13,0.144,"-0.130±0.144",-0.904,0.366,-0.413,0.152,"[-0.413, 0.152]"
"marea","n",78,"gs_mat",0.001,0.003,"0.001±0.003",0.446,0.656,-0.005,0.007,"[-0.005, 0.007]"
"marea","n",78,"gs_ai",0.039,0.027,"0.039±0.027",1.466,0.142,-0.013,0.092,"[-0.013, 0.092]"
"marea","n",78,"gs_par",0,0,"0.000±0.000",0.155,0.877,-0,0,"[-0.000, 0.000]"
"marea","p",75,"intrcpt",-0.374,0.078,"-0.374±0.078",-4.809,0,-0.527,-0.222,"[-0.527, -0.222]"
"marea","p",75,"gs_mat",0.004,0.002,"0.004±0.002",1.861,0.063,-0,0.008,"[-0.000, 0.008]"
"marea","p",75,"gs_ai",0.046,0.019,"0.046±0.019",2.414,0.016,0.009,0.083,"[0.009, 0.083]"
"marea","p",75,"gs_par",0,0,"0.000±0.000",3.14,0.002,0,0,"[0.000, 0.000]"
"marea","np",75,"intrcpt",-0.353,0.163,"-0.353±0.163",-2.17,0.03,-0.671,-0.034,"[-0.671, -0.034]"
"marea","np",75,"gs_mat",0.006,0.003,"0.006±0.003",1.887,0.059,-0,0.012,"[-0.000, 0.012]"
"marea","np",75,"gs_ai",0.056,0.029,"0.056±0.029",1.922,0.055,-0.001,0.114,"[-0.001, 0.114]"
"marea","np",75,"gs_par",0,0,"0.000±0.000",0.869,0.385,-0,0,"[-0.000, 0.000]"
"nmass","n",103,"intrcpt",0.389,0.189,"0.389±0.189",2.063,0.039,0.02,0.759,"[0.020, 0.759]"
"nmass","n",103,"gs_mat",-0.008,0.003,"-0.008±0.003",-2.43,0.015,-0.014,-0.002,"[-0.014, -0.002]"
"nmass","n",103,"gs_ai",-0.048,0.037,"-0.048±0.037",-1.304,0.192,-0.12,0.024,"[-0.120, 0.024]"
"nmass","n",103,"gs_par",-0,0,"-0.000±0.000",-0.528,0.597,-0,0,"[-0.000, 0.000]"
"nmass","p",101,"intrcpt",0.043,0.122,"0.043±0.122",0.354,0.723,-0.196,0.282,"[-0.196, 0.282]"
"nmass","p",101,"gs_mat",0.001,0.002,"0.001±0.002",0.46,0.645,-0.003,0.005,"[-0.003, 0.005]"
"nmass","p",101,"gs_ai",-0.018,0.025,"-0.018±0.025",-0.692,0.489,-0.068,0.032,"[-0.068, 0.032]"
"nmass","p",101,"gs_par",-0,0,"-0.000±0.000",-0.393,0.694,-0,0,"[-0.000, 0.000]"
"nmass","np",101,"intrcpt",0.383,0.173,"0.383±0.173",2.22,0.026,0.045,0.722,"[0.045, 0.722]"
