"source","citation","response","site","exp","latitude","longitude","elevation","gs_mat","gs_map","gs_par","gs_ai","ecosystem_type","experiment_type","species","family","growth_form","growth_duration","photo_path","n_fixer","myc_assoc","myc_nas","treatment","npk","fert","n_c","n_t","n_units","p_c","p_t","p_units","duration","aggregation","x_c","x_t","sd_c","sd_t","rep_c","rep_t","background_n_mgkg","myvar","logr","logr_var","logr_se","manip_type"
"mesi","aerts2003","agb_n","bovenpolder","bovenpolder_fnp",51.85,5.62,6,9.650000036,64.16666667,477.6527778,1.559625,"grassland","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,10,"g_m2",0,0,"g_m2",11,"community",5.8,6.4,2.3,0.2,3,3,69,"agb_n",0.0984400728132525,0.0527432774722552,0.132593712108651,"n"
"mesi","aerts2003","agb_n","bethunepolder","bethunepolder_fnp",52.07,5.58,8,9.674999813,67.33333333,473.755787,1.813916667,"grassland","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,10,"g_m2",0,0,"g_m2",11,"community",9.2,10.8,1.6,0.8,3,3,71.1,"agb_n",0.160342650075179,0.0119109050472676,0.0630103299659869,"n"
"mesi","aerts2003","agb_p","bovenpolder","bovenpolder_fnp",51.85,5.62,6,9.650000036,64.16666667,477.6527778,1.559625,"grassland","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,10,"g_m2",0,0,"g_m2",11,"community",0.99,1.13,0.56,0.39,3,3,69,"agb_p",0.13226796857775,0.146361320270512,0.220878035931229,"n"
"mesi","aerts2003","agb_p","bethunepolder","bethunepolder_fnp",52.07,5.58,8,9.674999813,67.33333333,473.755787,1.813916667,"grassland","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,10,"g_m2",0,0,"g_m2",11,"community",0.6,0.7,0.03,0.1,3,3,71.1,"agb_p",0.154150679827258,0.00763605442176871,0.0504514764295645,"n"
"mesi","aerts2003","agb","bovenpolder","bovenpolder_fnp",51.85,5.62,6,9.650000036,64.16666667,477.6527778,1.559625,"grassland","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,10,"g_m2",0,0,"g_m2",11,"community",282.7,402,96.5,60.3,3,3,69,"agb",0.352065823919476,0.046340226600278,0.124284923462553,"n"
"mesi","aerts2003","agb","bethunepolder","bethunepolder_fnp",52.07,5.58,8,9.674999813,67.33333333,473.755787,1.813916667,"grassland","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,10,"g_m2",0,0,"g_m2",11,"community",517.3,670,59,40.2,3,3,71.1,"agb",0.258654735375542,0.00553608524646435,0.0429576739223791,"n"
"mesi","augustine2003","anpp","mpalaRanch","mpalaRanch_fnp",0.28,37.88,1775,18.58333317,169.4166667,868.2025463,1.287475,"grassland","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,40,"g_m2",0,0,"g_m2",2,"community",7.17452,7.33439,1.465,0.876,4,4,66.8,"agb",0.022038384766053,0.0139902029754196,0.05914009421581,"n"
"mesi","aydin2005","agb","ondokuz","ondokuz_fnp",41.35,36.25,4,14.09999986,57.16666667,697.5127315,0.750391667,"grassland","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,18,"g_m2",0,0,"g_m2",3,"community",1465.5,3297.4,118.5,280.2,4,4,0,"agb",0.810937797976131,0.00343980771303907,0.0293249369694083,"n"
"mesi","bennett2001","agb","hamersley","hamersley_fnp",-22.28,117.67,606,24.5,33.91666667,1078.457755,0.130541667,"grassland","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,5,"g_m2",0,0,"g_m2",2,"community",430,499,76,93,6,6,13.6,"agb",0.148820887063911,0.010995551260515,0.0428087827058012,"n"
"mesi","blanke2012","agb","alpflix","alpflix_fnp",46.53,9.65,2029,6.550000072,122.8333333,836.005787,1.44815,"grassland","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,5,"g_m2",0,0,"g_m2",2,"community",287.7,382.3,82.9,78.6,10,9,126.6,"agb",0.284287370144865,0.0129996036235747,0.0380052680903505,"n"
"mesi","blanke2012","agb_n_mass","alpflix","alpflix_fnp",46.53,9.65,2029,6.550000072,122.8333333,836.005787,1.44815,"grassland","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,5,"g_m2",0,0,"g_m2",2,"community",18.11,19.03,1.39,0.93,10,9,126.6,"agb_n_mass",0.0495524094127361,0.000854471313542175,0.00974378042959926,"n"
"mesi","blanke2012","agb_n","alpflix","alpflix_fnp",46.53,9.65,2029,6.550000072,122.8333333,836.005787,1.44815,"grassland","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,5,"g_m2",0,0,"g_m2",2,"community",4.75,6.53,1.42,1.59,10,9,126.6,"agb_n",0.31826232524179,0.015524524934506,0.0415324838523428,"n"
"mesi","blanke2012","agb_p_mass","alpflix","alpflix_fnp",46.53,9.65,2029,6.550000072,122.8333333,836.005787,1.44815,"grassland","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,5,"g_m2",0,0,"g_m2",2,"community",1.06,1.05,0.06,0.15,10,9,126.6,"agb_p_mass",-0.00947874395454377,0.00258797241455025,0.0169573727477338,"n"
"mesi","blanke2012","agb_p","alpflix","alpflix_fnp",46.53,9.65,2029,6.550000072,122.8333333,836.005787,1.44815,"grassland","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,5,"g_m2",0,0,"g_m2",2,"community",0.28,0.37,0.13,0.15,10,9,126.6,"agb_p",0.27871340246902,0.0398176271969708,0.0665145157064488,"n"
"mesi","boeye1997","agb","buitengoor","buitengoor1992_fnp",51.2,5.17,36,10.2833334,67,480.7274306,1.455125,"wetland","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,20,"g_m2",0,0,"g_m2",1,"community",82,54,47,27,5,5,54.7,"agb",-0.417735200699979,0.11570493753718,0.152121620775733,"n"
