"trait","nut_add","mod","comp","k","estimate","z","p","lowerCL","upperCL","estimate_perc","lowerCL_perc","upperCL_perc","ci.range"
"marea","int","photo","C3",113,-0.075,0.633,0.527,-0.224,0.075,-7.226,-20.068,7.788,"[-0.224, 0.075]"
"marea","int","photo","C4",113,0.07,0.633,0.527,-0.35,0.491,7.251,-29.531,63.395,"[-0.35, 0.491]"
"marea","int","myc_nas","Mining",113,-0.388,1.939,0.052,-0.741,-0.035,-32.159,-52.336,-3.439,"[-0.741, -0.035]"
"marea","int","myc_nas","Scavenging",113,-0.004,1.939,0.052,-0.158,0.149,-0.399,-14.615,16.067,"[-0.158, 0.149]"
"marea","int","nfix","No",113,-0.056,0.059,0.953,-0.199,0.087,-5.446,-18.045,9.09,"[-0.199, 0.087]"
"marea","int","nfix","Yes",113,-0.035,0.059,0.953,-0.717,0.646,-3.439,-51.179,90.789,"[-0.717, 0.646]"
"nmass","int","photo","C3",136,0.033,-0.862,0.389,-0.096,0.161,3.355,-9.154,17.468,"[-0.096, 0.161]"
"nmass","int","photo","C4",136,-0.222,-0.862,0.389,-0.786,0.342,-19.908,-54.434,40.776,"[-0.786, 0.342]"
"nmass","int","myc_nas","Mining",136,0.337,-1.959,0.05,-0.012,0.687,40.074,-1.193,98.774,"[-0.012, 0.687]"
"nmass","int","myc_nas","Scavenging",136,-0.034,-1.959,0.05,-0.169,0.1,-3.343,-15.549,10.517,"[-0.169, 0.1]"
"nmass","int","nfix","No",136,0.02,-0.587,0.557,-0.111,0.151,2.02,-10.506,16.3,"[-0.111, 0.151]"
"nmass","int","nfix","Yes",136,-0.118,-0.587,0.557,-0.563,0.327,-11.13,-43.05,38.68,"[-0.563, 0.327]"
"narea","int","photo","C3",87,-0.044,0.016,0.988,-0.385,0.297,-4.305,-31.955,34.582,"[-0.385, 0.297]"
"narea","int","photo","C4",87,-0.04,0.016,0.988,-0.626,0.547,-3.921,-46.527,72.806,"[-0.626, 0.547]"
"narea","int","myc_nas","Mining",87,-0.212,0.741,0.459,-0.833,0.408,-19.104,-56.526,50.381,"[-0.833, 0.408]"
"narea","int","myc_nas","Scavenging",87,-0.014,0.741,0.459,-0.327,0.299,-1.39,-27.892,34.851,"[-0.327, 0.299]"
"narea","int","nfix","No",87,-0.056,0.508,0.612,-0.383,0.271,-5.446,-31.819,31.128,"[-0.383, 0.271]"
"narea","int","nfix","Yes",87,0.121,0.508,0.612,-0.61,0.852,12.862,-45.665,134.433,"[-0.61, 0.852]"
"pmass","int","photo","C3",130,-0.146,1.118,0.263,-0.284,-0.008,-13.584,-24.723,-0.797,"[-0.284, -0.008]"
"pmass","int","photo","C4",130,0.171,1.118,0.263,-0.365,0.708,18.649,-30.58,102.993,"[-0.365, 0.708]"
"pmass","int","myc_nas","Mining",130,-0.379,1.534,0.125,-0.724,-0.033,-31.545,-51.519,-3.246,"[-0.724, -0.033]"
"pmass","int","myc_nas","Scavenging",130,-0.085,1.534,0.125,-0.23,0.059,-8.149,-20.547,6.078,"[-0.23, 0.059]"
"pmass","int","nfix","No",130,-0.137,0.792,0.429,-0.275,0.001,-12.803,-24.043,0.1,"[-0.275, 0.001]"
"pmass","int","nfix","Yes",130,0.075,0.792,0.429,-0.432,0.583,7.788,-35.079,79.14,"[-0.432, 0.583]"
"parea","int","photo","C3",82,-0.113,-0.736,0.462,-0.379,0.152,-10.685,-31.545,16.416,"[-0.379, 0.152]"
"parea","int","photo","C4",82,-0.344,-0.736,0.462,-0.943,0.255,-29.107,-61.054,29.046,"[-0.943, 0.255]"
"parea","int","myc_nas","Mining",82,-0.777,3.244,0.001,-1.24,-0.313,-54.022,-71.062,-26.875,"[-1.24, -0.313]"
"parea","int","myc_nas","Scavenging",82,-0.018,3.244,0.001,-0.284,0.247,-1.784,-24.723,28.018,"[-0.284, 0.247]"
"parea","int","nfix","No",82,-0.179,1.381,0.167,-0.435,0.077,-16.389,-35.274,8.004,"[-0.435, 0.077]"
"parea","int","nfix","Yes",82,0.369,1.381,0.167,-0.42,1.158,44.629,-34.295,218.356,"[-0.42, 1.158]"
"leaf_np","int","photo","C3",115,-0.332,0.934,0.35,-0.59,-0.075,-28.251,-44.567,-7.226,"[-0.59, -0.075]"
"leaf_np","int","photo","C4",115,-0.042,0.934,0.35,-0.656,0.571,-4.113,-48.108,77.004,"[-0.656, 0.571]"
"leaf_np","int","myc_nas","Mining",115,-0.48,0.897,0.37,-0.935,-0.025,-38.122,-60.741,-2.469,"[-0.935, -0.025]"
"leaf_np","int","myc_nas","Scavenging",115,-0.282,0.897,0.37,-0.541,-0.024,-24.573,-41.783,-2.371,"[-0.541, -0.024]"
"leaf_np","int","nfix","No",115,-0.345,1.627,0.104,-0.598,-0.092,-29.178,-45.009,-8.789,"[-0.598, -0.092]"
"leaf_np","int","nfix","Yes",115,0.33,1.627,0.104,-0.501,1.161,39.097,-39.408,219.312,"[-0.501, 1.161]"
"asat","int","photo","C3",93,0.019,-0.641,0.522,-0.353,0.39,1.918,-29.742,47.698,"[-0.353, 0.39]"
"asat","int","photo","C4",93,-0.213,-0.641,0.522,-0.962,0.535,-19.184,-61.787,70.745,"[-0.962, 0.535]"
"asat","int","myc_nas","Mining",93,0.161,-0.801,0.423,-0.376,0.699,17.468,-31.34,101.174,"[-0.376, 0.699]"
"asat","int","myc_nas","Scavenging",93,-0.03,-0.801,0.423,-0.405,0.345,-2.955,-33.302,41.199,"[-0.405, 0.345]"
"asat","int","nfix","No",93,0.016,-0.692,0.489,-0.352,0.383,1.613,-29.672,46.668,"[-0.352, 0.383]"
"asat","int","nfix","Yes",93,-0.247,-0.692,0.489,-1.054,0.56,-21.886,-65.146,75.067,"[-1.054, 0.56]"
"vcmax","int","photo","C3",42,0.046,0.516,0.606,-0.293,0.385,4.707,-25.398,46.961,"[-0.293, 0.385]"
"vcmax","int","photo","C4",42,0.296,0.516,0.606,-0.686,1.278,34.447,-49.641,258.945,"[-0.686, 1.278]"
"vcmax","int","myc_nas","Mining",42,0.439,-2.026,0.043,-0.061,0.939,55.116,-5.918,155.742,"[-0.061, 0.939]"
"vcmax","int","myc_nas","Scavenging",42,-0.061,-2.026,0.043,-0.418,0.296,-5.918,-34.164,34.447,"[-0.418, 0.296]"
"vcmax","int","nfix","No",42,0.077,-0.51,0.61,-0.264,0.419,8.004,-23.203,52.044,"[-0.264, 0.419]"
"vcmax","int","nfix","Yes",42,-0.123,-0.51,0.61,-0.915,0.67,-11.574,-59.948,95.424,"[-0.915, 0.67]"
"jmax","int","photo","C3",40,0.012,0.535,0.593,-0.364,0.387,1.207,-30.511,47.256,"[-0.364, 0.387]"
"jmax","int","photo","C4",40,0.262,0.535,0.593,-0.706,1.231,29.953,-50.639,242.465,"[-0.706, 1.231]"
"jmax","int","myc_nas","Mining",40,0.439,-2.103,0.035,-0.061,0.939,55.116,-5.918,155.742,"[-0.061, 0.939]"
"jmax","int","myc_nas","Scavenging",40,-0.061,-2.103,0.035,-0.418,0.296,-5.918,-34.164,34.447,"[-0.418, 0.296]"
"jmax","int","nfix","No",40,0.073,-1.268,0.205,-0.306,0.452,7.573,-26.361,57.145,"[-0.306, 0.452]"
"jmax","int","nfix","Yes",40,-0.415,-1.268,0.205,-1.205,0.376,-33.966,-70.031,45.645,"[-1.205, 0.376]"
"pnue","int","photo","C3",65,0.052,0.681,0.496,-0.531,0.635,5.338,-41.198,88.702,"[-0.531, 0.635]"
"pnue","int","photo","C4",65,0.384,0.681,0.496,-0.727,1.494,46.815,-51.664,345.488,"[-0.727, 1.494]"
"pnue","int","myc_nas","Mining",65,0.382,-1.495,0.135,-0.343,1.108,46.521,-29.036,202.83,"[-0.343, 1.108]"
"pnue","int","myc_nas","Scavenging",65,-0.004,-1.495,0.135,-0.593,0.585,-0.399,-44.733,79.499,"[-0.593, 0.585]"
"pnue","int","nfix","No",65,0.111,-1.77,0.077,-0.474,0.696,11.739,-37.749,100.571,"[-0.474, 0.696]"
"pnue","int","nfix","Yes",65,-0.604,-1.77,0.077,-1.562,0.354,-45.338,-79.028,42.476,"[-1.562, 0.354]"
"ppue","int","photo","C3",66,-0.314,1.29,0.197,-0.805,0.176,-26.948,-55.291,19.244,"[-0.805, 0.176]"
"ppue","int","photo","C4",66,0.266,1.29,0.197,-0.724,1.256,30.474,-51.519,251.135,"[-0.724, 1.256]"
"ppue","int","myc_nas","Mining",66,-0.26,-0.131,0.896,-0.921,0.401,-22.895,-60.188,49.332,"[-0.921, 0.401]"
"ppue","int","myc_nas","Scavenging",66,-0.294,-0.131,0.896,-0.789,0.201,-25.472,-54.57,22.262,"[-0.789, 0.201]"
"ppue","int","nfix","No",66,-0.309,0.742,0.458,-0.801,0.184,-26.582,-55.112,20.202,"[-0.801, 0.184]"
"ppue","int","nfix","Yes",66,0.037,0.742,0.458,-0.961,1.035,3.769,-61.749,181.511,"[-0.961, 1.035]"
