"trait","nut_add","myc","estimate","z","p","lowerCL","upperCL"
"marea","n","Mining",0.011,-2.472,"0.013",-0.04,0.061
"marea","n","Scavenging",-0.046,-2.472,"0.013",-0.08,-0.011
"marea","p","Mining",0.003,-1.026,"0.305",-0.042,0.049
"marea","p","Scavenging",-0.018,-1.026,"0.305",-0.05,0.014
"marea","np","Mining",-0.161,4.265,"<0.001",-0.227,-0.094
"marea","np","Scavenging",-0.03,4.265,"<0.001",-0.072,0.012
"nmass","n","Mining",0.149,-0.561,"0.575",0.088,0.211
"nmass","n","Scavenging",0.137,-0.561,"0.575",0.091,0.183
"nmass","p","Mining",-0.017,1.077,"0.281",-0.065,0.032
"nmass","p","Scavenging",0.008,1.077,"0.281",-0.017,0.033
"nmass","np","Mining",0.158,-1.041,"0.298",0.086,0.23
"nmass","np","Scavenging",0.126,-1.041,"0.298",0.08,0.173
"narea","n","Mining",0.042,2.236,"0.025",-0.069,0.153
"narea","n","Scavenging",0.133,2.236,"0.025",0.05,0.217
"narea","p","Mining",0.04,-0.402,"0.688",-0.066,0.146
"narea","p","Scavenging",0.024,-0.402,"0.688",-0.057,0.105
"narea","np","Mining",0.155,-0.15,"0.881",0.055,0.256
"narea","np","Scavenging",0.149,-0.15,"0.881",0.077,0.221
"pmass","n","Mining",-0.227,6.069,"<0.001",-0.305,-0.149
"pmass","n","Scavenging",-0.066,6.069,"<0.001",-0.129,-0.003
"pmass","p","Mining",0.805,-6.408,"<0.001",0.637,0.972
"pmass","p","Scavenging",0.435,-6.408,"<0.001",0.303,0.567
"pmass","np","Mining",0.261,3.544,"<0.001",0.119,0.403
"pmass","np","Scavenging",0.381,3.544,"<0.001",0.252,0.51
"parea","n","Mining",-0.048,-0.087,"0.931",-0.242,0.145
"parea","n","Scavenging",-0.055,-0.087,"0.931",-0.202,0.093
"parea","p","Mining",1.071,-8.6,"<0.001",0.796,1.346
"parea","p","Scavenging",0.459,-8.6,"<0.001",0.213,0.706
"parea","np","Mining",0.401,-0.284,"0.777",0.153,0.649
"parea","np","Scavenging",0.38,-0.284,"0.777",0.165,0.595
"asat","n","Mining",-0.142,4.899,"<0.001",-0.336,0.052
"asat","n","Scavenging",0.138,4.899,"<0.001",-0.037,0.313
"asat","p","Mining",0.091,-0.264,"0.792",-0.101,0.283
"asat","p","Scavenging",0.076,-0.264,"0.792",-0.098,0.25
"asat","np","Mining",0.056,3.583,"<0.001",-0.17,0.283
"asat","np","Scavenging",0.256,3.583,"<0.001",0.045,0.466
"vcmax","n","Mining",-0.199,5.064,"<0.001",-0.433,0.036
"vcmax","n","Scavenging",0.09,5.064,"<0.001",-0.132,0.313
"vcmax","p","Mining",0.12,-0.108,"0.914",-0.043,0.283
"vcmax","p","Scavenging",0.114,-0.108,"0.914",-0.031,0.259
"vcmax","np","Mining",0.026,3.199,"0.001",-0.198,0.251
"vcmax","np","Scavenging",0.207,3.199,"0.001",-0.003,0.417
"jmax","n","Mining",-0.056,4.278,"<0.001",-0.222,0.11
"jmax","n","Scavenging",0.179,4.278,"<0.001",0.024,0.334
"jmax","p","Mining",0.185,-0.171,"0.864",0.008,0.361
"jmax","p","Scavenging",0.175,-0.171,"0.864",0.015,0.336
"jmax","np","Mining",0.096,3.302,"0.001",-0.072,0.264
"jmax","np","Scavenging",0.283,3.302,"0.001",0.129,0.436
"pnue","n","Mining",-0.123,3.706,"<0.001",-0.382,0.136
"pnue","n","Scavenging",0.095,3.706,"<0.001",-0.146,0.337
"pnue","p","Mining",0.147,0.087,"0.931",-0.126,0.42
"pnue","p","Scavenging",0.151,0.087,"0.931",-0.109,0.412
"pnue","np","Mining",0.157,-0.681,"0.496",-0.226,0.54
"pnue","np","Scavenging",0.118,-0.681,"0.496",-0.253,0.489
"ppue","n","Mining",-0.018,3.001,"0.003",-0.335,0.298
"ppue","n","Scavenging",0.223,3.001,"0.003",-0.062,0.508
"ppue","p","Mining",-0.583,5.158,"<0.001",-1.012,-0.154
"ppue","p","Scavenging",-0.094,5.158,"<0.001",-0.494,0.306
"ppue","np","Mining",-0.229,2.184,"0.029",-0.629,0.171
"ppue","np","Scavenging",-0.026,2.184,"0.029",-0.394,0.342
