trait,nut_add,mod,comp,k,estimate,z,p,lowerCL,upperCL,ci.range
marea,int,photo,C3,113,-0.075,0.633,0.527,-0.224,0.075,"[-0.224, 0.075]"
marea,int,photo,C4,113,0.07,0.633,0.527,-0.35,0.491,"[-0.35, 0.491]"
marea,int,myc_nas,Mining,113,-0.388,1.939,0.052,-0.741,-0.035,"[-0.741, -0.035]"
marea,int,myc_nas,Scavenging,113,-0.004,1.939,0.052,-0.158,0.149,"[-0.158, 0.149]"
marea,int,nfix,No,113,-0.056,0.059,0.953,-0.199,0.087,"[-0.199, 0.087]"
marea,int,nfix,Yes,113,-0.035,0.059,0.953,-0.717,0.646,"[-0.717, 0.646]"
nmass,int,photo,C3,136,0.033,-0.862,0.389,-0.096,0.161,"[-0.096, 0.161]"
nmass,int,photo,C4,136,-0.222,-0.862,0.389,-0.786,0.342,"[-0.786, 0.342]"
nmass,int,myc_nas,Mining,136,0.337,-1.959,0.05,-0.012,0.687,"[-0.012, 0.687]"
nmass,int,myc_nas,Scavenging,136,-0.034,-1.959,0.05,-0.169,0.1,"[-0.169, 0.1]"
nmass,int,nfix,No,136,0.02,-0.587,0.557,-0.111,0.151,"[-0.111, 0.151]"
nmass,int,nfix,Yes,136,-0.118,-0.587,0.557,-0.563,0.327,"[-0.563, 0.327]"
narea,int,photo,C3,87,-0.05,-0.064,0.949,-0.312,0.211,"[-0.312, 0.211]"
narea,int,photo,C4,87,-0.069,-0.064,0.949,-0.629,0.49,"[-0.629, 0.49]"
narea,int,myc_nas,Mining,87,-0.22,0.808,0.419,-0.704,0.264,"[-0.704, 0.264]"
narea,int,myc_nas,Scavenging,87,-0.023,0.808,0.419,-0.279,0.232,"[-0.279, 0.232]"
narea,int,nfix,No,87,-0.063,0.409,0.683,-0.314,0.189,"[-0.314, 0.189]"
narea,int,nfix,Yes,87,0.079,0.409,0.683,-0.608,0.766,"[-0.608, 0.766]"
pmass,int,photo,C3,130,-0.146,1.118,0.263,-0.284,-0.008,"[-0.284, -0.008]"
pmass,int,photo,C4,130,0.171,1.118,0.263,-0.365,0.708,"[-0.365, 0.708]"
pmass,int,myc_nas,Mining,130,-0.379,1.534,0.125,-0.724,-0.033,"[-0.724, -0.033]"
pmass,int,myc_nas,Scavenging,130,-0.085,1.534,0.125,-0.23,0.059,"[-0.23, 0.059]"
pmass,int,nfix,No,130,-0.137,0.792,0.429,-0.275,0.001,"[-0.275, 0.001]"
pmass,int,nfix,Yes,130,0.075,0.792,0.429,-0.432,0.583,"[-0.432, 0.583]"
parea,int,photo,C3,82,-0.113,-0.736,0.462,-0.379,0.152,"[-0.379, 0.152]"
parea,int,photo,C4,82,-0.344,-0.736,0.462,-0.943,0.255,"[-0.943, 0.255]"
parea,int,myc_nas,Mining,82,-0.777,3.244,0.001,-1.24,-0.313,"[-1.24, -0.313]"
parea,int,myc_nas,Scavenging,82,-0.018,3.244,0.001,-0.284,0.247,"[-0.284, 0.247]"
parea,int,nfix,No,82,-0.179,1.381,0.167,-0.435,0.077,"[-0.435, 0.077]"
parea,int,nfix,Yes,82,0.369,1.381,0.167,-0.42,1.158,"[-0.42, 1.158]"
leaf_np,int,photo,C3,115,-0.332,0.934,0.35,-0.59,-0.075,"[-0.59, -0.075]"
leaf_np,int,photo,C4,115,-0.042,0.934,0.35,-0.656,0.571,"[-0.656, 0.571]"
leaf_np,int,myc_nas,Mining,115,-0.48,0.897,0.37,-0.935,-0.025,"[-0.935, -0.025]"
leaf_np,int,myc_nas,Scavenging,115,-0.282,0.897,0.37,-0.541,-0.024,"[-0.541, -0.024]"
leaf_np,int,nfix,No,115,-0.345,1.627,0.104,-0.598,-0.092,"[-0.598, -0.092]"
leaf_np,int,nfix,Yes,115,0.33,1.627,0.104,-0.501,1.161,"[-0.501, 1.161]"
asat,int,photo,C3,93,0.019,-0.641,0.522,-0.353,0.39,"[-0.353, 0.39]"
asat,int,photo,C4,93,-0.213,-0.641,0.522,-0.962,0.535,"[-0.962, 0.535]"
asat,int,myc_nas,Mining,93,0.161,-0.801,0.423,-0.376,0.699,"[-0.376, 0.699]"
asat,int,myc_nas,Scavenging,93,-0.03,-0.801,0.423,-0.405,0.345,"[-0.405, 0.345]"
asat,int,nfix,No,93,0.016,-0.692,0.489,-0.352,0.383,"[-0.352, 0.383]"
asat,int,nfix,Yes,93,-0.247,-0.692,0.489,-1.054,0.56,"[-1.054, 0.56]"
rd,int,photo,C3,32,0.158,0.135,0.893,-0.082,0.399,"[-0.082, 0.399]"
rd,int,photo,C4,32,0.217,0.135,0.893,-0.601,1.036,"[-0.601, 1.036]"
rd,int,myc_nas,Mining,32,0.432,-1.353,0.176,-0.013,0.878,"[-0.013, 0.878]"
rd,int,myc_nas,Scavenging,32,0.056,-1.353,0.176,-0.226,0.339,"[-0.226, 0.339]"
rd,int,nfix,No,32,0.212,-1.262,0.207,-0.032,0.455,"[-0.032, 0.455]"
rd,int,nfix,Yes,32,-0.319,-1.262,0.207,-1.098,0.461,"[-1.098, 0.461]"
gsw,int,photo,C3,47,0.139,-0.102,0.919,-0.099,0.376,"[-0.099, 0.376]"
gsw,int,photo,C4,47,0.092,-0.102,0.919,-0.797,0.981,"[-0.797, 0.981]"
gsw,int,myc_nas,Mining,47,0.488,-1.854,0.064,0.056,0.919,"[0.056, 0.919]"
gsw,int,myc_nas,Scavenging,47,0.04,-1.854,0.064,-0.22,0.301,"[-0.22, 0.301]"
gsw,int,nfix,No,47,0.173,-1.008,0.313,-0.064,0.41,"[-0.064, 0.41]"
gsw,int,nfix,Yes,47,-0.266,-1.008,0.313,-1.111,0.58,"[-1.111, 0.58]"
vcmax,int,photo,C3,42,0.046,0.516,0.606,-0.293,0.385,"[-0.293, 0.385]"
vcmax,int,photo,C4,42,0.296,0.516,0.606,-0.686,1.278,"[-0.686, 1.278]"
vcmax,int,myc_nas,Mining,42,0.439,-2.026,0.043,-0.061,0.939,"[-0.061, 0.939]"
vcmax,int,myc_nas,Scavenging,42,-0.061,-2.026,0.043,-0.418,0.296,"[-0.418, 0.296]"
vcmax,int,nfix,No,42,0.077,-0.51,0.61,-0.264,0.419,"[-0.264, 0.419]"
vcmax,int,nfix,Yes,42,-0.123,-0.51,0.61,-0.915,0.67,"[-0.915, 0.67]"
jmax,int,photo,C3,40,0.012,0.535,0.593,-0.364,0.387,"[-0.364, 0.387]"
jmax,int,photo,C4,40,0.262,0.535,0.593,-0.706,1.231,"[-0.706, 1.231]"
jmax,int,myc_nas,Mining,40,0.439,-2.103,0.035,-0.061,0.939,"[-0.061, 0.939]"
jmax,int,myc_nas,Scavenging,40,-0.061,-2.103,0.035,-0.418,0.296,"[-0.418, 0.296]"
jmax,int,nfix,No,40,0.073,-1.268,0.205,-0.306,0.452,"[-0.306, 0.452]"
jmax,int,nfix,Yes,40,-0.415,-1.268,0.205,-1.205,0.376,"[-1.205, 0.376]"
jmax_vcmax,int,photo,C3,32,0.079,0.426,0.67,-0.156,0.314,"[-0.156, 0.314]"
jmax_vcmax,int,photo,C4,32,0.267,0.426,0.67,-0.563,1.097,"[-0.563, 1.097]"
jmax_vcmax,int,myc_nas,Mining,32,-0.194,1.477,0.14,-0.628,0.239,"[-0.628, 0.239]"
jmax_vcmax,int,myc_nas,Scavenging,32,0.202,1.477,0.14,-0.072,0.476,"[-0.072, 0.476]"
jmax_vcmax,int,nfix,No,32,0.051,0.999,0.318,-0.186,0.288,"[-0.186, 0.288]"
