"trait","nut_add","photo","estimate","z","p","lowerCL","upperCL","estimate_perc","lowerCL_perc","upperCL_perc","CLrange","CLrange_perc"
"marea","n","C3",-0.013,-3.585,"<0.001",-0.046,0.02,-1.292,-4.496,2.02,"[-0.046, 0.02]","[-4.496, 2.02]"
"marea","n","C4",-0.127,-3.585,"<0.001",-0.184,-0.07,-11.927,-16.806,-6.761,"[-0.184, -0.07]","[-16.806, -6.761]"
"marea","p","C3",-0.027,1.701,"0.089",-0.058,0.004,-2.664,-5.635,0.401,"[-0.058, 0.004]","[-5.635, 0.401]"
"marea","p","C4",0.017,1.701,"0.089",-0.033,0.066,1.715,-3.246,6.823,"[-0.033, 0.066]","[-3.246, 6.823]"
"marea","np","C3",-0.023,-4.669,"<0.001",-0.064,0.018,-2.274,-6.2,1.816,"[-0.064, 0.018]","[-6.2, 1.816]"
"marea","np","C4",-0.175,-4.669,"<0.001",-0.241,-0.109,-16.054,-21.416,-10.327,"[-0.241, -0.109]","[-21.416, -10.327]"
"nmass","n","C3",0.124,2.61,"0.009",0.081,0.167,13.202,8.437,18.175,"[0.081, 0.167]","[8.437, 18.175]"
"nmass","n","C4",0.244,2.61,"0.009",0.156,0.333,27.634,16.883,39.515,"[0.156, 0.333]","[16.883, 39.515]"
"nmass","p","C3",-0.001,1.715,"0.086",-0.023,0.021,-0.1,-2.274,2.122,"[-0.023, 0.021]","[-2.274, 2.122]"
"nmass","p","C4",0.054,1.715,"0.086",-0.007,0.115,5.548,-0.698,12.187,"[-0.007, 0.115]","[-0.698, 12.187]"
"nmass","np","C3",0.121,3.006,"0.003",0.074,0.168,12.862,7.681,18.294,"[0.074, 0.168]","[7.681, 18.294]"
"nmass","np","C4",0.255,3.006,"0.003",0.166,0.344,29.046,18.057,41.058,"[0.166, 0.344]","[18.057, 41.058]"
"narea","n","C3",0.147,-2.084,"0.037",0.064,0.23,15.835,6.609,25.86,"[0.064, 0.23]","[6.609, 25.86]"
"narea","n","C4",0.058,-2.084,"0.037",-0.045,0.161,5.971,-4.4,17.468,"[-0.045, 0.161]","[-4.4, 17.468]"
"narea","p","C3",0.029,0.119,"0.905",-0.051,0.109,2.942,-4.972,11.516,"[-0.051, 0.109]","[-4.972, 11.516]"
"narea","p","C4",0.034,0.119,"0.905",-0.065,0.134,3.458,-6.293,14.339,"[-0.065, 0.134]","[-6.293, 14.339]"
"narea","np","C3",0.197,-6.916,"<0.001",0.11,0.284,21.774,11.628,32.843,"[0.11, 0.284]","[11.628, 32.843]"
"narea","np","C4",-0.053,-6.916,"<0.001",-0.156,0.05,-5.162,-14.444,5.127,"[-0.156, 0.05]","[-14.444, 5.127]"
"pmass","n","C3",-0.096,1.358,"0.174",-0.17,-0.023,-9.154,-15.634,-2.274,"[-0.17, -0.023]","[-15.634, -2.274]"
"pmass","n","C4",0.027,1.358,"0.174",-0.149,0.203,2.737,-13.843,22.507,"[-0.149, 0.203]","[-13.843, 22.507]"
"pmass","p","C3",0.49,-2.781,"0.005",0.349,0.63,63.232,41.765,87.761,"[0.349, 0.63]","[41.765, 87.761]"
"pmass","p","C4",0.172,-2.781,"0.005",-0.072,0.416,18.768,-6.947,51.589,"[-0.072, 0.416]","[-6.947, 51.589]"
"pmass","np","C3",0.341,0.257,"0.797",0.226,0.456,40.635,25.358,57.775,"[0.226, 0.456]","[25.358, 57.775]"
"pmass","np","C4",0.37,0.257,"0.797",0.142,0.597,44.773,15.258,81.666,"[0.142, 0.597]","[15.258, 81.666]"
