"trait","nut_add","photo","estimate","z","p","lowerCL","upperCL","estimate_perc","lowerCL_perc","upperCL_perc","ci.range","ci.range_perc"
"marea","int","C3",-0.065,0.789,0.43,-0.238,0.108,-6.255,-21.149,11.453,"[-0.238, 0.108]","[-21.149, 11.453]"
"marea","int","C4",0.124,0.789,0.43,-0.312,0.561,13.258,-26.833,75.316,"[-0.312, 0.561]","[-26.833, 75.316]"
"nmass","int","C3",0.028,-0.979,0.327,-0.103,0.158,2.811,-9.747,17.115,"[-0.103, 0.158]","[-9.747, 17.115]"
"nmass","int","C4",-0.26,-0.979,0.327,-0.822,0.301,-22.93,-56.059,35.176,"[-0.822, 0.301]","[-56.059, 35.176]"
"narea","int","C3",-0.054,0.105,0.917,-0.417,0.309,-5.264,-34.13,36.251,"[-0.417, 0.309]","[-34.13, 36.251]"
"narea","int","C4",-0.022,0.105,0.917,-0.599,0.554,-2.194,-45.042,74.058,"[-0.599, 0.554]","[-45.042, 74.058]"
"pmass","int","C3",-0.147,1.22,0.222,-0.287,-0.006,-13.664,-24.986,-0.634,"[-0.287, -0.006]","[-24.986, -0.634]"
"pmass","int","C4",0.197,1.22,0.222,-0.337,0.73,21.728,-28.617,107.581,"[-0.337, 0.73]","[-28.617, 107.581]"
"parea","int","C3",-0.088,-0.321,0.748,-0.465,0.289,-8.417,-37.193,33.543,"[-0.465, 0.289]","[-37.193, 33.543]"
"parea","int","C4",-0.189,-0.321,0.748,-0.817,0.439,-17.251,-55.835,55.041,"[-0.817, 0.439]","[-55.835, 55.041]"
"leaf_np","int","C3",-0.554,0.583,0.56,-0.965,-0.142,-42.51,-61.888,-13.28,"[-0.965, -0.142]","[-61.888, -13.28]"
"leaf_np","int","C4",-0.369,0.583,0.56,-1.077,0.34,-30.847,-65.953,40.457,"[-1.077, 0.34]","[-65.953, 40.457]"
"asat","int","C3",0.188,0.093,0.926,-0.305,0.68,20.634,-26.267,97.369,"[-0.305, 0.68]","[-26.267, 97.369]"
"asat","int","C4",0.226,0.093,0.926,-0.666,1.117,25.31,-48.628,205.663,"[-0.666, 1.117]","[-48.628, 205.663]"
"vcmax","int","C3",0.146,0.363,0.716,-0.367,0.659,15.774,-30.687,93.379,"[-0.367, 0.659]","[-30.687, 93.379]"
"vcmax","int","C4",0.323,0.363,0.716,-0.779,1.425,38.08,-54.13,315.655,"[-0.779, 1.425]","[-54.13, 315.655]"
"jmax","int","C3",0.131,0.442,0.659,-0.434,0.697,14.038,-35.231,100.786,"[-0.434, 0.697]","[-35.231, 100.786]"
"jmax","int","C4",0.339,0.442,0.659,-0.782,1.461,40.423,-54.273,331.225,"[-0.782, 1.461]","[-54.273, 331.225]"
"pnue","int","C3",0.127,0.763,0.445,-0.641,0.895,13.526,-47.326,144.675,"[-0.641, 0.895]","[-47.326, 144.675]"
"pnue","int","C4",0.589,0.763,0.445,-1.018,2.197,80.291,-63.878,799.865,"[-1.018, 2.197]","[-63.878, 799.865]"
"ppue","int","C3",-0.126,0.484,0.629,-0.635,0.383,-11.821,-46.982,46.659,"[-0.635, 0.383]","[-46.982, 46.659]"
"ppue","int","C4",0.114,0.484,0.629,-1.052,1.279,12.026,-65.074,259.323,"[-1.052, 1.279]","[-65.074, 259.323]"
"total_biomass","int","C3",0.023,-0.023,0.982,-0.277,0.322,2.289,-24.189,38.014,"[-0.277, 0.322]","[-24.189, 38.014]"
"total_biomass","int","C4",-0.018,-0.023,0.982,-3.437,3.402,-1.749,-96.784,2902.037,"[-3.437, 3.402]","[-96.784, 2902.037]"
"agb","int","C3",0.074,0.074,0.941,-0.218,0.367,7.71,-19.613,44.321,"[-0.218, 0.367]","[-19.613, 44.321]"
"agb","int","C4",0.11,0.074,0.941,-0.781,1,11.578,-54.19,171.763,"[-0.781, 1]","[-54.19, 171.763]"
"bgb","int","C3",0.016,-0.918,0.359,-0.412,0.444,1.575,-33.791,55.829,"[-0.412, 0.444]","[-33.791, 55.829]"
"bgb","int","C4",-0.418,-0.918,0.359,-1.237,0.402,-34.133,-70.989,49.544,"[-1.237, 0.402]","[-70.989, 49.544]"
