source,citation,response,site,exp,latitude,longitude,elevation,mat,map,ecosystem_type,experiment_type,species,growth_form,treatment,npk,n_c,n_t,n_units,p_c,p_t,p_units,duration,aggregation,x_c,x_t,x_units,sd_c,sd_t,se_c,se_t,rep_c,rep_t,doi
mesi,aerts_et_al_2003,agb_n,bovenpolder,bovenpolder_fnp,51.85,5.62,NA,9.5,821,grassland,field,NA,NA,fnp,_100,0,10,g_m2,0,0,g_m2,11,community,5.8,6.4,g_m2,2.3,0.2,1.3,0.1,3,3,https://doi.org/10.1034/j.1600-0706.2003.12223.x
mesi,aerts_et_al_2003,agb_n,bovenpolder,bovenpolder_fnp,51.85,5.62,NA,9.5,821,grassland,field,NA,NA,fnp,_010,0,0,g_m2,0,5,g_m2,11,community,5.8,4.9,g_m2,2.3,2.7,1.3,1.6,3,3,https://doi.org/10.1034/j.1600-0706.2003.12223.x
mesi,aerts_et_al_2003,agb_n,bovenpolder,bovenpolder_fnp,51.85,5.62,NA,9.5,821,grassland,field,NA,NA,fnp,_110,0,10,g_m2,0,5,g_m2,11,community,5.8,8.7,g_m2,2.3,1.4,1.3,0.8,3,3,https://doi.org/10.1034/j.1600-0706.2003.12223.x
mesi,aerts_et_al_2003,agb_n,bethunepolder,bethunepolder_fnp,52.07,5.58,NA,9.5,821,grassland,field,NA,NA,fnp,_100,0,10,g_m2,0,0,g_m2,11,community,9.2,10.8,g_m2,1.6,0.8,0.9,0.5,3,3,https://doi.org/10.1034/j.1600-0706.2003.12223.x
mesi,aerts_et_al_2003,agb_n,bethunepolder,bethunepolder_fnp,52.07,5.58,NA,9.5,821,grassland,field,NA,NA,fnp,_010,0,0,g_m2,0,5,g_m2,11,community,9.2,10.1,g_m2,1.6,0.3,0.9,0.2,3,3,https://doi.org/10.1034/j.1600-0706.2003.12223.x
mesi,aerts_et_al_2003,agb_n,bethunepolder,bethunepolder_fnp,52.07,5.58,NA,9.5,821,grassland,field,NA,NA,fnp,_110,0,10,g_m2,0,5,g_m2,11,community,9.2,10.3,g_m2,1.6,1.1,0.9,0.6,3,3,https://doi.org/10.1034/j.1600-0706.2003.12223.x
mesi,aerts_et_al_2003,agb_p,bovenpolder,bovenpolder_fnp,51.85,5.62,NA,9.5,821,grassland,field,NA,NA,fnp,_100,0,10,g_m2,0,0,g_m2,11,community,0.99,1.13,g_m2,0.56,0.39,0.3,0.2,3,3,https://doi.org/10.1034/j.1600-0706.2003.12223.x
mesi,aerts_et_al_2003,agb_p,bovenpolder,bovenpolder_fnp,51.85,5.62,NA,9.5,821,grassland,field,NA,NA,fnp,_010,0,0,g_m2,0,5,g_m2,11,community,0.99,1.05,g_m2,0.56,0.42,0.3,0.2,3,3,https://doi.org/10.1034/j.1600-0706.2003.12223.x
mesi,aerts_et_al_2003,agb_p,bovenpolder,bovenpolder_fnp,51.85,5.62,NA,9.5,821,grassland,field,NA,NA,fnp,_110,0,10,g_m2,0,5,g_m2,11,community,0.99,1.58,g_m2,0.56,0.04,0.3,0,3,3,https://doi.org/10.1034/j.1600-0706.2003.12223.x
mesi,aerts_et_al_2003,agb_p,bethunepolder,bethunepolder_fnp,52.07,5.58,NA,9.5,821,grassland,field,NA,NA,fnp,_100,0,10,g_m2,0,0,g_m2,11,community,0.6,0.7,g_m2,0.03,0.1,0,0.1,3,3,https://doi.org/10.1034/j.1600-0706.2003.12223.x
mesi,aerts_et_al_2003,agb_p,bethunepolder,bethunepolder_fnp,52.07,5.58,NA,9.5,821,grassland,field,NA,NA,fnp,_010,0,0,g_m2,0,5,g_m2,11,community,0.6,1.68,g_m2,0.03,0.3,0,0.2,3,3,https://doi.org/10.1034/j.1600-0706.2003.12223.x
mesi,aerts_et_al_2003,agb_p,bethunepolder,bethunepolder_fnp,52.07,5.58,NA,9.5,821,grassland,field,NA,NA,fnp,_110,0,10,g_m2,0,5,g_m2,11,community,0.6,1.16,g_m2,0.03,0.17,0,0.1,3,3,https://doi.org/10.1034/j.1600-0706.2003.12223.x
mesi,aerts_et_al_2003,agb,bovenpolder,bovenpolder_fnp,51.85,5.62,NA,9.5,821,grassland,field,NA,NA,fnp,_100,0,10,g_m2,0,0,g_m2,11,community,282.7,402,g_m2,96.5,60.3,55.7,34.8,3,3,https://doi.org/10.1034/j.1600-0706.2003.12223.x
mesi,aerts_et_al_2003,agb,bovenpolder,bovenpolder_fnp,51.85,5.62,NA,9.5,821,grassland,field,NA,NA,fnp,_010,0,0,g_m2,0,5,g_m2,11,community,282.7,253.3,g_m2,96.5,101.8,55.7,58.8,3,3,https://doi.org/10.1034/j.1600-0706.2003.12223.x
mesi,aerts_et_al_2003,agb,bovenpolder,bovenpolder_fnp,51.85,5.62,NA,9.5,821,grassland,field,NA,NA,fnp,_110,0,10,g_m2,0,5,g_m2,11,community,282.7,536,g_m2,96.5,175.5,55.7,101.3,3,3,https://doi.org/10.1034/j.1600-0706.2003.12223.x
mesi,aerts_et_al_2003,agb,bethunepolder,bethunepolder_fnp,52.07,5.58,NA,9.5,821,grassland,field,NA,NA,fnp,_100,0,10,g_m2,0,0,g_m2,11,community,517.3,670,g_m2,59,40.2,34.1,23.2,3,3,https://doi.org/10.1034/j.1600-0706.2003.12223.x
mesi,aerts_et_al_2003,agb,bethunepolder,bethunepolder_fnp,52.07,5.58,NA,9.5,821,grassland,field,NA,NA,fnp,_010,0,0,g_m2,0,5,g_m2,11,community,517.3,640.5,g_m2,59,27.1,34.1,15.6,3,3,https://doi.org/10.1034/j.1600-0706.2003.12223.x
mesi,aerts_et_al_2003,agb,bethunepolder,bethunepolder_fnp,52.07,5.58,NA,9.5,821,grassland,field,NA,NA,fnp,_110,0,10,g_m2,0,5,g_m2,11,community,517.3,549.4,g_m2,59,68.1,34.1,39.3,3,3,https://doi.org/10.1034/j.1600-0706.2003.12223.x
mesi,augustine_et_al_2003,anpp,mpalaRanch,mpalaRanch_fnp,0.28,37.88,NA,16.2,703,grassland,field,NA,NA,fnp,_100,0,40,g_m2,0,0,g_m2,2,community,7.17452,7.33439,g_m2_d,1.465,0.876,0.7325,0.438,4,4,https://doi.org/10.1890/02-5283
mesi,augustine_et_al_2003,anpp,mpalaRanch,mpalaRanch_fnp,0.28,37.88,NA,16.2,703,grassland,field,NA,NA,fnp,_010,0,0,g_m2,0,10,g_m2,2,community,7.17452,9.60479,g_m2_d,1.465,2.151,0.7325,1.0755,4,4,https://doi.org/10.1890/02-5283
mesi,augustine_et_al_2003,anpp,mpalaRanch,mpalaRanch_fnp,0.28,37.88,NA,16.2,703,grassland,field,NA,NA,fnp,_110,0,40,g_m2,0,10,g_m2,2,community,7.17452,13.3465,g_m2_d,1.465,0.581,0.7325,0.2905,4,4,https://doi.org/10.1890/02-5283
mesi,arens_et_al_2008,gpp,pituffik,pituffik_fnp,76.55,-68.57,200,-11.4,126,tundra,field,NA,NA,fnp,_100,0,5,g_m2,0,0,g_m2,2,community,0.321,0.876,umol_m2_s,0.106,0.128,0.043,0.052,6,6,https://doi.org/10.1029/2007JG000508
mesi,arens_et_al_2008,gpp,pituffik,pituffik_fnp,76.55,-68.57,200,-11.4,126,tundra,field,NA,NA,fnp,_010,0,0,g_m2,0,2.5,g_m2,2,community,0.321,0.486,umol_m2_s,0.106,0.106,0.043,0.043,6,6,https://doi.org/10.1029/2007JG000508
mesi,arens_et_al_2008,gpp,pituffik,pituffik_fnp,76.55,-68.57,200,-11.4,126,tundra,field,NA,NA,fnp,_110,0,5,g_m2,0,2.5,g_m2,2,community,0.321,2.257,umol_m2_s,0.106,0.234,0.043,0.095,6,6,https://doi.org/10.1029/2007JG000508
