"exp","treatment","trait","mean_control","mean_trt","sd_control","sd_trt","se_control","se_trt","n_control","n_trt"
"wang2019","N1","pmass",1.1,1.06,0.156524758,0.313049517,0.07,0.14,5,5
"wang2019","N2","pmass",1.1,1.08,0.156524758,0.134164079,0.07,0.06,5,5
"wang2019","P","pmass",1.1,1.34,0.156524758,0.245967478,0.07,0.11,5,5
"wang2019","N1P","pmass",1.1,1.61,0.156524758,0.223606798,0.07,0.1,5,5
"wang2019","N2P","pmass",1.1,1.48,0.156524758,0.447213595,0.07,0.2,5,5
"wang2019","N1","pi",0.34,0.3,0.089442719,0.134164079,0.04,0.06,5,5
"wang2019","N2","pi",0.34,0.29,0.089442719,0.089442719,0.04,0.04,5,5
"wang2019","P","pi",0.34,0.5,0.089442719,0.156524758,0.04,0.07,5,5
"wang2019","N1P","pi",0.34,0.61,0.089442719,0.201246118,0.04,0.09,5,5
"wang2019","N2P","pi",0.34,0.47,0.089442719,0.111803399,0.04,0.05,5,5
"wang2019","N1","psugar",0.27,0.25,0.067082039,0.089442719,0.03,0.04,5,5
"wang2019","N2","psugar",0.27,0.23,0.067082039,0.067082039,0.03,0.03,5,5
"wang2019","P","psugar",0.27,0.37,0.067082039,0.089442719,0.03,0.04,5,5
"wang2019","N1P","psugar",0.27,0.43,0.067082039,0.111803399,0.03,0.05,5,5
"wang2019","N2P","psugar",0.27,0.35,0.067082039,0.089442719,0.03,0.04,5,5
"wang2019","N1","pnucleic",0.22,0.21,0.02236068,0.04472136,0.01,0.02,5,5
"wang2019","N2","pnucleic",0.22,0.2,0.02236068,0.02236068,0.01,0.01,5,5
"wang2019","P","pnucleic",0.22,0.23,0.02236068,0.02236068,0.01,0.01,5,5
"wang2019","N1P","pnucleic",0.22,0.3,0.02236068,0.02236068,0.01,0.01,5,5
"wang2019","N2P","pnucleic",0.22,0.46,0.02236068,0.02236068,0.01,0.01,5,5
"wang2019","N1","presidual",0.25,0.29,0.067082039,0.089442719,0.03,0.04,5,5
"wang2019","N2","presidual",0.25,0.36,0.067082039,0.089442719,0.03,0.04,5,5
"wang2019","P","presidual",0.25,0.23,0.067082039,0.156524758,0.03,0.07,5,5
"wang2019","N1P","presidual",0.25,0.3,0.067082039,0.134164079,0.03,0.06,5,5
"wang2019","N2P","presidual",0.25,0.46,0.067082039,0.245967478,0.03,0.11,5,5
