"exp","Species","Treatm","trait","mean_control","mean_trt","sd_control","sd_trt","se_control","se_trt","n_control","n_trt"
"crous2017","acacia_decora","HNLP","Asat",14.5783333333333,8.618,2.12724626375666,3.72629440597492,0.868444650574296,1.66644951918743,6,5
"crous2017","acacia_decora","LNHP","Asat",14.5783333333333,12.1633333333333,2.12724626375666,4.43542406841405,0.868444650574296,1.81075429341231,6,6
"crous2017","acacia_decora","HNHP","Asat",14.5783333333333,8.89833333333333,2.12724626375666,3.39514604496871,0.868444650574296,1.38606256873362,6,6
"crous2017","acacia_melanoxylon","HNLP","Asat",14.678,14.205,3.36302988389934,5.20070283711731,1.50399268615243,2.1231780424637,5,6
"crous2017","acacia_melanoxylon","LNHP","Asat",14.678,17.875,3.36302988389934,4.70132215445825,1.50399268615243,1.91930673247747,5,6
"crous2017","acacia_melanoxylon","HNHP","Asat",14.678,14.475,3.36302988389934,6.15095683613533,1.50399268615243,2.51111761306926,5,6
"crous2017","allocasuarina_luehmannii","HNLP","Asat",18.1783333333333,21.9033333333333,6.99834099388324,5.12661941894136,2.85706074683601,2.09293361364165,6,6
"crous2017","allocasuarina_luehmannii","LNHP","Asat",18.1783333333333,18.1,6.99834099388324,5.83456939285154,2.85706074683601,2.38195298022442,6,6
"crous2017","allocasuarina_luehmannii","HNHP","Asat",18.1783333333333,24.3133333333333,6.99834099388324,2.75050298430427,2.85706074683601,1.12288814125797,6,6
"crous2017","atriplex_nummularia","HNLP","Asat",11.88,8.39833333333333,5.12010253803574,5.22895559998999,2.28977946536342,2.13471218460736,5,6
"crous2017","atriplex_nummularia","LNHP","Asat",11.88,10.8125,5.12010253803574,3.50049877398445,2.28977946536342,1.75024938699223,5,4
"crous2017","atriplex_nummularia","HNHP","Asat",11.88,16.274,5.12010253803574,5.44369635450031,2.28977946536342,2.4344950195061,5,5
"crous2017","banksia_integrifolia","HNLP","Asat",9.83,14.1233333333333,3.36117043106515,3.28769422746905,1.68058521553257,1.89815114724244,4,3
"crous2017","banksia_integrifolia","LNHP","Asat",9.83,12.02,3.36117043106515,4.08302583876223,1.68058521553257,2.35733606711757,4,3
"crous2017","banksia_integrifolia","HNHP","Asat",9.83,19.11,3.36117043106515,2.93972787856291,1.68058521553257,1.31468627436358,4,5
"crous2017","banksia_spinulosa","HNLP","Asat",6.1,8.385,2.15216170396186,2.36880771697493,1.07608085198093,1.675,4,2
"crous2017","banksia_spinulosa","LNHP","Asat",6.1,4.918,2.15216170396186,1.41536920978238,1.07608085198093,0.632972353266713,4,5
"crous2017","brachychiton_populneus","HNLP","Asat",13.5833333333333,11.7166666666667,3.06813732852144,6.18627728659706,1.25256181927724,2.52553712658867,6,6
"crous2017","brachychiton_populneus","LNHP","Asat",13.5833333333333,13.082,3.06813732852144,2.9559719213822,1.25256181927724,1.32195083115825,6,5
"crous2017","brachychiton_populneus","HNHP","Asat",13.5833333333333,14.585,3.06813732852144,4.50452550220331,1.25256181927724,1.83896483562538,6,6
"crous2017","brachychiton_rupestris","HNLP","Asat",17.4883333333333,9.53166666666667,2.50952917230836,3.1286381488863,1.02451099446408,1.27726117576286,6,6
"crous2017","brachychiton_rupestris","LNHP","Asat",17.4883333333333,14.7766666666667,2.50952917230836,4.59453878715445,1.02451099446408,1.87571260532571,6,6
"crous2017","brachychiton_rupestris","HNHP","Asat",17.4883333333333,18.605,2.50952917230836,3.7225891527269,1.02451099446408,1.51974065770008,6,6
"crous2017","callistemom_citrinus","HNLP","Asat",13.8,13.26,1.25767642897528,1.74694018214706,0.56244999777758,0.713185342904167,5,6
"crous2017","callistemom_citrinus","LNHP","Asat",13.8,14.6566666666667,1.25767642897528,2.22691415790252,0.56244999777758,0.909133897973475,5,6
"crous2017","callistemom_citrinus","HNHP","Asat",13.8,14.6716666666667,1.25767642897528,2.57273719347054,0.56244999777758,1.05031556104714,5,6
"crous2017","callistemom_salignus","HNLP","Asat",11.156,9.212,3.24708792612704,3.83205166979779,1.45214186634778,1.71374560539189,5,5
"crous2017","callistemom_salignus","LNHP","Asat",11.156,11.4283333333333,3.24708792612704,3.20754994764956,1.45214186634778,1.30947678270538,5,6
"crous2017","callistemom_salignus","HNHP","Asat",11.156,17.705,3.24708792612704,6.13675728703686,1.45214186634778,2.50532067142445,5,6
"crous2017","callitris_endlicheri","HNLP","Asat",15.54,21.192,3.69108114242968,4.77702522497003,1.50687756636032,2.13635062665284,6,5
"crous2017","callitris_endlicheri","LNHP","Asat",15.54,19.564,3.69108114242968,13.3049513339959,1.50687756636032,5.95015512402828,6,5
"crous2017","callitris_endlicheri","HNHP","Asat",15.54,19.1,3.69108114242968,3.33300165016461,1.50687756636032,1.49056365177741,6,5
"crous2017","callitris_glaucophylla","HNLP","Asat",25.85,25.4683333333333,7.83281047900433,5.44191663540215,3.19773148758095,2.22165316324979,6,6
"crous2017","callitris_glaucophylla","LNHP","Asat",25.85,26.695,7.83281047900433,5.53991245418193,3.19773148758095,2.26165978873924,6,6
"crous2017","campanula_persicifolia_'alba'_","HNLP","Asat",10.03,13.895,2.87961108485156,4.77118748321631,1.17559630259144,1.94782913350564,6,6
"crous2017","campanula_persicifolia_'alba'_","LNHP","Asat",10.03,9.39166666666667,2.87961108485156,4.55841821980681,1.17559630259144,1.86096644545546,6,6
"crous2017","campanula_persicifolia_'alba'_","HNHP","Asat",10.03,16.1716666666667,2.87961108485156,9.83557505520987,1.17559630259144,4.01535670201844,6,6
"crous2017","casuarina_cunninghammiana","HNLP","Asat",14.8183333333333,13.985,5.68499574904561,4.05474413496092,2.3208897958422,1.65534236136617,6,6
