site_code,Taxon,exp_duration,trt,trait,mean_control,mean_trt,sd_control,sd_trt,se_control,se_trt,n_control,n_trt
bogong.au,craspedia_jamesii,2,N,lma,123.158,259.839,2.820,204.273,1.628,144.443,3,2
bogong.au,craspedia_jamesii,2,P,lma,123.158,119.467,2.820,9.347,1.628,6.609,3,2
bogong.au,craspedia_jamesii,2,NP,lma,123.158,101.864,2.820,14.675,1.628,8.472,3,3
bogong.au,poa_hiemata,2,N,lma,226.219,188.187,34.830,53.317,20.109,30.783,3,3
bogong.au,poa_hiemata,2,P,lma,226.219,230.126,34.830,10.965,20.109,6.331,3,3
bogong.au,poa_hiemata,2,NP,lma,226.219,219.328,34.830,33.862,20.109,23.944,3,2
bogong.au,rumex_acetosella,2,N,lma,98.742,99.144,7.569,10.407,4.370,7.359,3,2
bogong.au,rumex_acetosella,2,P,lma,98.742,90.608,7.569,33.119,4.370,19.121,3,3
bogong.au,rumex_acetosella,2,NP,lma,98.742,83.590,7.569,8.242,4.370,4.758,3,3
burrawan.au,epaltes_australis,3,N,lma,78.074,82.934,13.268,20.484,7.660,11.827,3,3
burrawan.au,epaltes_australis,3,P,lma,78.074,98.718,13.268,9.305,7.660,5.372,3,3
burrawan.au,epaltes_australis,3,NP,lma,78.074,80.156,13.268,26.543,7.660,15.325,3,3
burrawan.au,eragrostis_curvula,3,N,lma,309.701,350.859,57.309,206.198,33.087,119.048,3,3
burrawan.au,eragrostis_curvula,3,P,lma,309.701,320.330,57.309,31.249,33.087,18.042,3,3
burrawan.au,eragrostis_curvula,3,NP,lma,309.701,269.549,57.309,60.690,33.087,35.039,3,3
burrawan.au,eragrostis_sororia,3,N,lma,157.494,169.756,30.105,29.868,17.381,17.245,3,3
burrawan.au,eragrostis_sororia,3,P,lma,157.494,147.236,30.105,21.466,17.381,12.393,3,3
burrawan.au,eragrostis_sororia,3,NP,lma,157.494,186.895,30.105,33.155,17.381,19.142,3,3
burrawan.au,fimbristylis_dichotoma,3,N,lma,181.021,168.910,11.919,31.345,6.881,18.097,3,3
burrawan.au,fimbristylis_dichotoma,3,P,lma,181.021,153.939,11.919,34.365,6.881,19.840,3,3
burrawan.au,fimbristylis_dichotoma,3,NP,lma,181.021,171.347,11.919,13.821,6.881,7.979,3,3
cbgb.us,schizachyrium_scoparium,3,N,lma,86.356,77.547,11.890,4.511,6.865,3.190,3,2
cbgb.us,schizachyrium_scoparium,3,P,lma,86.356,93.933,11.890,6.584,6.865,3.801,3,3
cbgb.us,schizachyrium_scoparium,3,NP,lma,86.356,86.733,11.890,45.512,6.865,26.276,3,3
cowi.ca,alopecurus_pratensis,4,N,lma,88.109,70.866,18.697,3.566,10.795,2.059,3,3
cowi.ca,alopecurus_pratensis,4,P,lma,88.109,75.729,18.697,6.121,10.795,3.534,3,3
cowi.ca,alopecurus_pratensis,4,NP,lma,88.109,86.136,18.697,15.113,10.795,8.726,3,3
elliot.us,erodium_botrys,3,N,lma,44.192,47.249,3.931,7.922,2.269,4.574,3,3
elliot.us,erodium_botrys,3,P,lma,44.192,52.425,3.931,7.424,2.269,4.286,3,3
elliot.us,erodium_botrys,3,NP,lma,44.192,44.446,3.931,5.468,2.269,3.157,3,3
elliot.us,lolium_multiflorum,3,N,lma,43.495,37.875,2.791,6.032,1.611,4.265,3,2
elliot.us,lolium_multiflorum,3,P,lma,43.495,44.655,2.791,1.592,1.611,1.126,3,2
elliot.us,lolium_multiflorum,3,NP,lma,43.495,53.536,2.791,14.692,1.611,8.482,3,3
elliot.us,nassella_pulchra,3,N,lma,77.332,67.232,43.482,3.374,25.104,1.948,3,3
elliot.us,nassella_pulchra,3,P,lma,77.332,70.342,43.482,6.381,25.104,3.684,3,3
elliot.us,nassella_pulchra,3,NP,lma,77.332,81.994,43.482,23.590,25.104,13.619,3,3
frue.ch,alopecurus_pratensis,3,N,lma,278.021,212.448,75.862,96.509,43.799,55.720,3,3
frue.ch,alopecurus_pratensis,3,P,lma,278.021,102.198,75.862,46.319,43.799,26.742,3,3
frue.ch,alopecurus_pratensis,3,NP,lma,278.021,71.023,75.862,37.417,43.799,21.603,3,3
frue.ch,dactylis_glomerata,3,N,lma,74.109,159.199,4.811,187.265,3.402,108.118,2,3
frue.ch,dactylis_glomerata,3,P,lma,74.109,57.305,4.811,59.487,3.402,34.345,2,3
frue.ch,dactylis_glomerata,3,NP,lma,74.109,74.047,4.811,19.425,3.402,13.736,2,2
gilb.za,diheteropogon_filifolius,2,N,lma,150.140,155.382,14.609,15.026,8.435,8.675,3,3
gilb.za,diheteropogon_filifolius,2,P,lma,150.140,146.080,14.609,3.228,8.435,2.282,3,2
gilb.za,diheteropogon_filifolius,2,NP,lma,150.140,124.821,14.609,45.926,8.435,26.516,3,3
gilb.za,heteropogon_contortus,2,N,lma,58.831,57.768,6.078,3.036,3.509,1.753,3,3
gilb.za,heteropogon_contortus,2,P,lma,58.831,58.474,6.078,1.056,3.509,0.610,3,3
gilb.za,heteropogon_contortus,2,NP,lma,58.831,80.305,6.078,42.059,3.509,24.282,3,3
kiny.au,avena_barbata,4,N,lma,416.716,432.082,86.869,110.870,61.426,64.011,2,3
kiny.au,avena_barbata,4,P,lma,416.716,1020.204,86.869,1081.478,61.426,624.392,2,3
kiny.au,avena_barbata,4,NP,lma,416.716,221.635,86.869,172.018,61.426,121.635,2,2
kiny.au,rytidosperma_sp.,4,N,lma,1169.165,888.754,344.993,401.915,199.182,284.197,3,2
kiny.au,rytidosperma_sp.,4,P,lma,1169.165,1707.267,344.993,1177.004,199.182,832.267,3,2
kiny.au,rytidosperma_sp.,4,NP,lma,1169.165,1263.922,344.993,96.231,199.182,68.045,3,2
konz.us,andropogon_gerardii,4,N,lma,83.403,72.823,11.190,19.877,7.912,11.476,2,3
konz.us,andropogon_gerardii,4,P,lma,83.403,93.223,11.190,14.955,7.912,8.634,2,3
konz.us,andropogon_gerardii,4,NP,lma,83.403,74.426,11.190,6.690,7.912,3.862,2,3
konz.us,schizachyrium_scoparium,4,N,lma,74.448,67.800,10.775,21.297,6.221,12.296,3,3
konz.us,schizachyrium_scoparium,4,P,lma,74.448,75.893,10.775,4.868,6.221,2.810,3,3
konz.us,schizachyrium_scoparium,4,NP,lma,74.448,61.490,10.775,14.732,6.221,10.417,3,2
lancaster.uk,agrostis_capillaris,3,N,lma,38.708,51.511,6.403,22.322,3.697,12.888,3,3
lancaster.uk,agrostis_capillaris,3,P,lma,38.708,51.625,6.403,6.090,3.697,3.516,3,3
lancaster.uk,agrostis_capillaris,3,NP,lma,38.708,51.479,6.403,4.026,3.697,2.324,3,3
lancaster.uk,holcus_lanatus,3,N,lma,34.631,37.615,5.109,3.330,2.950,1.922,3,3
lancaster.uk,holcus_lanatus,3,P,lma,34.631,33.982,5.109,4.211,2.950,2.431,3,3
lancaster.uk,holcus_lanatus,3,NP,lma,34.631,35.298,5.109,5.260,2.950,3.037,3,3
look.us,carex_pensylvanica,4,N,lma,43.736,34.428,14.506,2.482,10.257,1.433,2,3
look.us,carex_pensylvanica,4,P,lma,43.736,75.436,14.506,34.492,10.257,24.390,2,2
look.us,carex_pensylvanica,4,NP,lma,43.736,35.105,14.506,0.489,10.257,0.346,2,2
look.us,erigeron_aliceae,4,N,lma,23.248,23.922,1.469,1.078,0.848,0.622,3,3
