Site,spName_full,Fertilisation,trait,mean_control,mean_trt,sd_control,sd_trt,se_control,se_trt,n_control,n_trt
NOU,licania_alba,N,spad,53.410,35.972,20.507,5.405,7.751,2.207,7,6
NOU,licania_alba,P,spad,53.410,66.300,20.507,8.764,7.751,5.060,7,3
NOU,licania_alba,NP,spad,53.410,52.411,20.507,10.547,7.751,4.306,7,6
NOU,dicorynia_guianensis,N,lma,120.058,114.386,3.332,5.161,1.924,2.979,3,3
NOU,dicorynia_guianensis,P,lma,120.058,122.651,3.332,4.197,1.924,2.423,3,3
NOU,dicorynia_guianensis,NP,lma,120.058,150.906,3.332,5.271,1.924,3.043,3,3
NOU,licania_alba,N,lma,171.708,121.946,10.919,16.408,4.127,6.699,7,6
NOU,licania_alba,P,lma,171.708,222.301,10.919,9.263,4.127,5.348,7,3
NOU,licania_alba,NP,lma,171.708,194.874,10.919,21.353,4.127,8.717,7,6
NOU,dicorynia_guianensis,N,leaf_n_mass,1.975,2.044,0.091,0.063,0.052,0.037,3,3
NOU,dicorynia_guianensis,P,leaf_n_mass,1.975,1.982,0.091,0.021,0.052,0.012,3,3
NOU,dicorynia_guianensis,NP,leaf_n_mass,1.975,1.931,0.091,0.227,0.052,0.131,3,3
NOU,licania_alba,N,leaf_n_mass,1.211,1.169,0.119,0.114,0.045,0.047,7,6
NOU,licania_alba,P,leaf_n_mass,1.211,0.891,0.119,0.114,0.045,0.066,7,3
NOU,licania_alba,NP,leaf_n_mass,1.211,1.213,0.119,0.137,0.045,0.056,7,6
NOU,dicorynia_guianensis,N,leaf_n_area,2.372,2.340,0.147,0.163,0.085,0.094,3,3
NOU,dicorynia_guianensis,P,leaf_n_area,2.372,2.430,0.147,0.058,0.085,0.033,3,3
NOU,dicorynia_guianensis,NP,leaf_n_area,2.372,2.907,0.147,0.261,0.085,0.150,3,3
NOU,licania_alba,N,leaf_n_area,2.075,1.417,0.194,0.151,0.073,0.062,7,6
NOU,licania_alba,P,leaf_n_area,2.075,1.987,0.194,0.336,0.073,0.194,7,3
NOU,licania_alba,NP,leaf_n_area,2.075,2.343,0.194,0.139,0.073,0.057,7,6
NOU,dicorynia_guianensis,N,leaf_p_mass,0.0620,0.0667,0.0031,0.0030,0.0018,0.0017,3,3
NOU,dicorynia_guianensis,P,leaf_p_mass,0.0620,0.0755,0.0031,0.0026,0.0018,0.0015,3,3
NOU,dicorynia_guianensis,NP,leaf_p_mass,0.0620,0.0763,0.0031,0.0130,0.0018,0.0075,3,3
NOU,licania_alba,N,leaf_p_mass,0.0341,0.0323,0.0028,0.0039,0.0011,0.0016,7,6
NOU,licania_alba,P,leaf_p_mass,0.0341,0.0262,0.0028,0.0017,0.0011,0.0010,7,3
NOU,licania_alba,NP,leaf_p_mass,0.0341,0.0347,0.0028,0.0025,0.0011,0.0010,7,6
NOU,dicorynia_guianensis,N,leaf_p_area,0.0744,0.0764,0.0036,0.0057,0.0021,0.0033,3,3
NOU,dicorynia_guianensis,P,leaf_p_area,0.0744,0.0925,0.0036,0.0035,0.0021,0.0020,3,3
NOU,dicorynia_guianensis,NP,leaf_p_area,0.0744,0.1147,0.0036,0.0167,0.0021,0.0097,3,3
NOU,licania_alba,N,leaf_p_area,0.0587,0.0388,0.0070,0.0011,0.0027,0.0004,7,6
NOU,licania_alba,P,leaf_p_area,0.0587,0.0583,0.0070,0.0058,0.0027,0.0034,7,3
NOU,licania_alba,NP,leaf_p_area,0.0587,0.0677,0.0070,0.0096,0.0027,0.0039,7,6
NOU,dicorynia_guianensis,N,leaf_np,31.867,30.649,1.157,0.557,0.668,0.322,3,3
NOU,dicorynia_guianensis,P,leaf_np,31.867,26.286,1.157,0.887,0.668,0.512,3,3
NOU,dicorynia_guianensis,NP,leaf_np,31.867,25.500,1.157,1.506,0.668,0.869,3,3
NOU,licania_alba,N,leaf_np,35.737,36.494,4.699,3.813,1.776,1.557,7,6
NOU,licania_alba,P,leaf_np,35.737,33.930,4.699,2.626,1.776,1.516,7,3
NOU,licania_alba,NP,leaf_np,35.737,35.110,4.699,4.506,1.776,1.839,7,6
NOU,dicorynia_guianensis,N,vcmax,36.998,25.012,2.440,3.909,1.409,2.257,3,3
NOU,dicorynia_guianensis,P,vcmax,36.998,27.136,2.440,4.348,1.409,2.510,3,3
NOU,dicorynia_guianensis,NP,vcmax,36.998,30.900,2.440,4.062,1.409,2.873,3,2
NOU,licania_alba,N,vcmax,17.438,14.179,6.049,4.991,2.286,2.037,7,6
NOU,licania_alba,P,vcmax,17.438,34.460,6.049,4.646,2.286,2.682,7,3
NOU,licania_alba,NP,vcmax,17.438,26.101,6.049,17.381,2.286,7.096,7,6
NOU,dicorynia_guianensis,N,jmax,95.399,97.328,8.980,8.364,5.185,4.829,3,3
NOU,dicorynia_guianensis,P,jmax,95.399,104.773,8.980,19.505,5.185,11.261,3,3
NOU,dicorynia_guianensis,NP,jmax,95.399,93.240,8.980,21.218,5.185,15.004,3,2
NOU,licania_alba,N,jmax,57.920,31.339,18.625,13.614,7.040,5.558,7,6
NOU,licania_alba,P,jmax,57.920,77.434,18.625,15.153,7.040,8.749,7,3
NOU,licania_alba,NP,jmax,57.920,73.093,18.625,44.352,7.040,18.107,7,6
