citation,site,latitude,longitude,elevation,mat_c,map_mm,ecosystem_type,experiment_type,spp,trait,mean,sd,se,n
wang_et_al_2024,baishaforest_fnp,25.083,116.7,not_reported,19.8,1637,plantation,field,cunninghamia_lanceolata,leaf_inorganic_P,0.143,0.088,0.023,15
wang_et_al_2024,baishaforest_fnp,25.083,116.7,not_reported,19.8,1637,plantation,field,lithocarpus_glader,leaf_inorganic_P,0.091,0.039,0.01,15
wang_et_al_2024,baishaforest_fnp,25.083,116.7,not_reported,19.8,1637,plantation,field,pinus_massoniana,leaf_inorganic_P,0.209,0.022,0.006,15
wang_et_al_2024,baishaforest_fnp,25.083,116.7,not_reported,19.8,1637,plantation,field,schima_superba,leaf_inorganic_P,0.122,0.041,0.01,15
wang_et_al_2024,baishaforest_fnp,25.083,116.7,not_reported,19.8,1637,plantation,field,cunninghamia_lanceolata,leaf_lipid_p,0.149,0.042,0.011,15
wang_et_al_2024,baishaforest_fnp,25.083,116.7,not_reported,19.8,1637,plantation,field,lithocarpus_glader,leaf_lipid_p,0.093,0.051,0.013,15
wang_et_al_2024,baishaforest_fnp,25.083,116.7,not_reported,19.8,1637,plantation,field,pinus_massoniana,leaf_lipid_p,0.157,0.039,0.01,15
wang_et_al_2024,baishaforest_fnp,25.083,116.7,not_reported,19.8,1637,plantation,field,schima_superba,leaf_lipid_p,0.142,0.023,0.006,15
wang_et_al_2024,baishaforest_fnp,25.083,116.7,not_reported,19.8,1637,plantation,field,cunninghamia_lanceolata,leaf_metabolic_P,0.129,0.041,0.011,15
wang_et_al_2024,baishaforest_fnp,25.083,116.7,not_reported,19.8,1637,plantation,field,lithocarpus_glader,leaf_metabolic_P,0.066,0.013,0.003,15
wang_et_al_2024,baishaforest_fnp,25.083,116.7,not_reported,19.8,1637,plantation,field,pinus_massoniana,leaf_metabolic_P,0.09,0.029,0.008,15
wang_et_al_2024,baishaforest_fnp,25.083,116.7,not_reported,19.8,1637,plantation,field,schima_superba,leaf_metabolic_P,0.056,0.023,0.006,15
wang_et_al_2024,baishaforest_fnp,25.083,116.7,not_reported,19.8,1637,plantation,field,cunninghamia_lanceolata,leaf_nucleic_P,0.133,0.036,0.009,15
wang_et_al_2024,baishaforest_fnp,25.083,116.7,not_reported,19.8,1637,plantation,field,lithocarpus_glader,leaf_nucleic_P,0.14,0.063,0.016,15
wang_et_al_2024,baishaforest_fnp,25.083,116.7,not_reported,19.8,1637,plantation,field,pinus_massoniana,leaf_nucleic_P,0.196,0.014,0.004,15
wang_et_al_2024,baishaforest_fnp,25.083,116.7,not_reported,19.8,1637,plantation,field,schima_superba,leaf_nucleic_P,0.175,0.031,0.008,15
wang_et_al_2024,baishaforest_fnp,25.083,116.7,not_reported,19.8,1637,plantation,field,cunninghamia_lanceolata,leaf_residual_P,0.068,0.02,0.005,15
wang_et_al_2024,baishaforest_fnp,25.083,116.7,not_reported,19.8,1637,plantation,field,lithocarpus_glader,leaf_residual_P,0.038,0.009,0.002,15
wang_et_al_2024,baishaforest_fnp,25.083,116.7,not_reported,19.8,1637,plantation,field,pinus_massoniana,leaf_residual_P,0.127,0.033,0.008,15
wang_et_al_2024,baishaforest_fnp,25.083,116.7,not_reported,19.8,1637,plantation,field,schima_superba,leaf_residual_P,0.036,0.016,0.004,15
