"site","variable","species","trt","mean_control","mean_trt","sd_control","sd_trt","se_control","se_trt","n_control","n_trt"
"primary","asat","hancea_hookeriana","n",2.54,0.731,0.091,0.196,0.03,0.065,9,9
"primary","asat","hancea_hookeriana","p",2.54,1.358,0.091,0.278,0.03,0.093,9,9
"primary","asat","hancea_hookeriana","np",2.54,0.287,0.091,0.063,0.03,0.021,9,9
"primary","asat","gironniera_subaequalis","n",3.421,3.622,0.752,0.26,0.251,0.087,9,9
"primary","asat","gironniera_subaequalis","p",3.421,3.864,0.752,0.536,0.251,0.179,9,9
"primary","asat","gironniera_subaequalis","np",3.421,3.33,0.752,0.562,0.251,0.187,9,9
"primary","asat","calamus_tetradactyloides","n",1.361,1.115,0.117,0.1,0.039,0.033,9,9
"primary","asat","calamus_tetradactyloides","p",1.361,2.284,0.117,0.5,0.039,0.167,9,9
"primary","asat","calamus_tetradactyloides","np",1.361,1.258,0.117,0.153,0.039,0.051,9,9
"primary","asat","cryptocarya_chinensis","n",3.897,4.036,0.123,0.106,0.041,0.035,9,9
"primary","asat","cryptocarya_chinensis","p",3.897,3.168,0.123,0.272,0.041,0.091,9,9
"primary","asat","cryptocarya_chinensis","np",3.897,3.421,0.123,0.704,0.041,0.235,9,9
"primary","asat","psychotria_asiatica","n",3.08,3.994,0.289,0.625,0.096,0.208,9,9
"primary","asat","psychotria_asiatica","p",3.08,3.264,0.289,0.231,0.096,0.077,9,9
"primary","asat","psychotria_asiatica","np",3.08,2.953,0.289,0.209,0.096,0.07,9,9
"primary","asat","nephelium_lappaceum","n",3.082,4.69,0.725,0.8,0.242,0.267,9,9
"primary","asat","nephelium_lappaceum","p",3.082,2.67,0.725,1.342,0.242,0.447,9,9
"primary","asat","nephelium_lappaceum","np",3.082,1.527,0.725,1.147,0.242,0.382,9,9
"primary","asat","ampelocalamus_actinotrichus","n",1.826,0.635,0.464,0.496,0.155,0.165,9,9
"primary","asat","ampelocalamus_actinotrichus","p",1.826,1.836,0.464,0.495,0.155,0.165,9,9
"primary","asat","ampelocalamus_actinotrichus","np",1.826,1.049,0.464,0.513,0.155,0.171,9,9
"primary","asat","rhapis_excelsa","n",1.257,1.339,0.418,0.214,0.139,0.071,9,9
"primary","asat","rhapis_excelsa","p",1.257,1.403,0.418,0.143,0.139,0.048,9,9
"primary","asat","rhapis_excelsa","np",1.257,0.493,0.418,0.048,0.139,0.016,9,9
"primary","wue","hancea_hookeriana","n",35.842,65.944,16.372,8.941,5.457,2.98,9,9
"primary","wue","hancea_hookeriana","p",35.842,96.429,16.372,69.767,5.457,23.256,9,9
"primary","wue","hancea_hookeriana","np",35.842,26.148,16.372,18.498,5.457,6.166,9,9
"primary","wue","gironniera_subaequalis","n",45.921,49.868,15.773,11.807,5.258,3.936,9,9
"primary","wue","gironniera_subaequalis","p",45.921,38.658,15.773,10.28,5.258,3.427,9,9
"primary","wue","gironniera_subaequalis","np",45.921,56.421,15.773,45.831,5.258,15.277,9,9
"primary","wue","calamus_tetradactyloides","n",25.98,54.412,6.155,56.763,2.052,18.921,9,9
"primary","wue","calamus_tetradactyloides","p",25.98,104.534,6.155,67.624,2.052,22.541,9,9
"primary","wue","calamus_tetradactyloides","np",25.98,49.755,6.155,21.292,2.052,7.097,9,9
"primary","wue","cryptocarya_chinensis","n",59.247,76.339,20.173,16.063,6.724,5.354,9,9
"primary","wue","cryptocarya_chinensis","p",59.247,35.778,20.173,10.601,6.724,3.534,9,9
"primary","wue","cryptocarya_chinensis","np",59.247,70.727,20.173,25.122,6.724,8.374,9,9
"primary","wue","psychotria_asiatica","n",59.101,53.876,8.576,12.936,2.859,4.312,9,9
"primary","wue","psychotria_asiatica","p",59.101,47.893,8.576,3.952,2.859,1.317,9,9
"primary","wue","psychotria_asiatica","np",59.101,59.382,8.576,15.168,2.859,5.056,9,9
"primary","wue","nephelium_lappaceum","n",44.522,42.205,17.348,7.958,5.783,2.653,9,9
"primary","wue","nephelium_lappaceum","p",44.522,44.101,17.348,7.619,5.783,2.54,9,9
"primary","wue","nephelium_lappaceum","np",44.522,61.376,17.348,37.11,5.783,12.37,9,9
"primary","wue","ampelocalamus_actinotrichus","n",40.183,28.319,27.557,23.057,9.186,7.686,9,9
"primary","wue","ampelocalamus_actinotrichus","p",40.183,18.529,27.557,10.025,9.186,3.342,9,9
