"exp","citation"
"0.12_110.5_f","lawrence_2001"
"0.28_37.88_f","augustine_et_al_2003"
"-15.44_23.25_f","ohalloran_et_al_2010"
"17.25_-88.77_f","rejmankova_et_al_2008"
"-18.66_25.5_f","ohalloran_et_al_2010"
"-18.66_25.5_f","wang_et_al_2010"
"-18.66_25.5_f","ries_and_shugart_2008"
"18.83_-89.12_f","rejmankova_2001"
"19.57_-155.5_fnp","torn_et_al_2005"
"19.6_-155.33_fnp","dantonio_2006"
"-2.98_-47.52_f","davidson_et_al_2004"
"21.45_110.9_f","li_et_al_2015a"
"21.45_110.9_f","wang_et_al_2014a"
"21.45_110.9_f","wang_et_al_2014"
"-21.65_21.81_f","wang_et_al_2010"
"22.13_-159.63_f","herbert_and_fownes_1995"
"22.13_-159.63_f","ostertag_2001"
"22.13_-159.63_f","harrington_et_al_2001"
"-22.283_117.666_f","bennett_and_adams_2001"
"-22.41_21.71_f","ohalloran_et_al_2010"
"-22.78_31.25_f","craine_et_al_2008"
"23.15_112.5_f","zheng_et_al_2015"
"23.15_112.5_f","fang_et_al_2009"
"23.15_112.5_f","huang_et_al_2015b"
"23.17_112.17_fnp","chen_et_al_2013a"
"23.5_85.17_f","manna_et_al_2007"
"-23.75_31.43_f","craine_et_al_2008"
"-24.17_21.89_f","ohalloran_et_al_2010"
"-24.17_21.89_f","wang_et_al_2010"
"-24.22_31.25_f","van_der_waal_et_al_2011"
"-24.4_31.75_f","craine_et_al_2008"
"-25.12_31.23_f","craine_et_al_2008"
"-25.29_31.91_f","craine_et_al_2008"
"26.52_109.78_fn2p","wang_et_al_2017"
"28.25_116.92_f","chen_et_al_2003b"
"28.25_116.92_f","zheng_et_al_2016"
"28.25_116.92_f","yan_et_al_2008"
"28.92_111.45_f","su_et_al_2015"
"29.58_117.55_f","zhao_et_al_2013"
"-3.5_36_f","ludwig_et_al_2001"
"-3.95_-79.03_f","tischer_et_al_2015"
"31.3_-81.28_f","frost_et_al_2009"
