variable,group_id,mean,sd,n,se
asat,control,4.960334029,0.818371608,4,0.409185804
asat,p_added,6.396659708,0.868475992,4,0.434237996
jmax,control,36.99604743,7.944664032,4,3.972332016
jmax,p_added,45.05928854,6.758893281,4,3.37944664
p_mass,control,46.39676113,4.615384615,4,2.307692308
p_mass,p_added,59.02834008,5.101214575,4,2.550607287
rd,control,0.811546392,0.061030928,4,0.030515464
rd,p_added,0.790103093,0.061030928,4,0.030515464
control,control,16.91616766,1.996007984,4,0.998003992
control,p_added,21.00798403,1.946107784,4,0.973053892
nmass,control,2.398649804,0.600972895,4,0.300486447
nmass,p_added,3.394782958,0.80678553,4,0.403392765
