trait,treatment,mean,sd,se,n
pmass,C,1.1,0.156524758,0.07,5
pmass,N1,1.06,0.313049517,0.14,5
pmass,N2,1.08,0.134164079,0.06,5
pmass,P,1.34,0.245967478,0.11,5
pmass,N1P,1.61,0.223606798,0.1,5
pmass,N2P,1.48,0.447213595,0.2,5
pi,C,0.34,0.089442719,0.04,5
pi,N1,0.3,0.134164079,0.06,5
pi,N2,0.29,0.089442719,0.04,5
pi,P,0.5,0.156524758,0.07,5
pi,N1P,0.61,0.201246118,0.09,5
pi,N2P,0.47,0.111803399,0.05,5
psugar,C,0.27,0.067082039,0.03,5
psugar,N1,0.25,0.089442719,0.04,5
psugar,N2,0.23,0.067082039,0.03,5
psugar,P,0.37,0.089442719,0.04,5
psugar,N1P,0.43,0.111803399,0.05,5
psugar,N2P,0.35,0.089442719,0.04,5
pnucleic,C,0.22,0.02236068,0.01,5
pnucleic,N1,0.21,0.04472136,0.02,5
pnucleic,N2,0.2,0.02236068,0.01,5
pnucleic,P,0.23,0.02236068,0.01,5
pnucleic,N1P,0.3,0.02236068,0.01,5
pnucleic,N2P,0.46,0.02236068,0.01,5
presidual,C,0.25,0.067082039,0.03,5
presidual,N1,0.29,0.089442719,0.04,5
presidual,N2,0.36,0.089442719,0.04,5
presidual,P,0.23,0.156524758,0.07,5
presidual,N1P,0.3,0.134164079,0.06,5
presidual,N2P,0.46,0.245967478,0.11,5
